rate,fico
8.87,677
12.06,677
14.02,662
18.02,672
16.47,667
6.74,767
11.8,662
7.89,707
11.08,687
7.89,692
5.65,777
18.73,672
4.65,707
10.24,682
9.86,687
11.58,682
9.86,707
5.65,727
8.87,697
9.86,692
7.87,712
7.49,722
14.02,667
20.58,662
12.02,702
14.24,672
7.89,717
6.91,702
13.57,667
8.87,697
10.74,682
4.65,817
4.26,757
9.86,702
9.62,717
10.84,677
14.02,687
8.87,682
7.49,692
15.0,662
2.54,752
9.86,797
5.65,687
2.78,797
17.05,667
4.24,732
9.86,742
17.24,677
4.24,722
4.24,712
6.38,707
14.02,702
12.06,692
15.14,707
7.89,692
19.22,662
18.73,697
18.24,677
6.38,697
16.74,662
11.08,692
15.24,662
4.24,742
9.86,722
10.18,672
5.65,702
2.78,737
9.36,697
6.0,707
16.44,667
8.87,687
15.04,642
7.89,702
2.74,767
8.46,747
15.24,662
9.17,692
8.46,722
8.74,707
9.98,732
9.86,677
15.24,677
4.43,787
3.89,757
7.89,687
5.65,742
17.24,717
5.24,797
14.02,677
4.26,742
11.71,762
3.29,727
3.37,752
2.78,802
7.74,762
7.78,697
17.24,702
17.24,687
10.73,697
12.55,677
5.69,787
10.05,662
11.4,677
18.86,662
4.37,767
17.75,682
9.81,707
9.86,672
14.52,672
9.86,707
15.97,677
4.65,727
10.24,732
11.08,672
4.24,722
12.06,677
4.65,727
7.74,707
15.0,662
8.96,697
2.78,767
11.08,682
14.52,687
7.86,767
4.65,712
17.0,697
11.4,697
12.02,672
7.37,747
8.11,707
3.37,737
6.38,757
15.97,692
20.51,662
2.74,782
7.74,737
10.42,682
9.43,702
14.52,667
4.65,707
8.46,677
10.42,687
8.24,697
13.89,662
20.03,662
14.68,692
11.02,697
10.74,682
14.52,662
7.5,797
7.89,722
4.26,752
14.02,732
9.86,702
13.04,697
11.08,667
12.55,692
10.84,677
17.75,687
8.46,692
10.97,667
5.34,737
12.55,672
5.24,722
18.24,672
7.5,712
15.5,712
8.87,682
15.0,677
12.06,677
9.92,677
13.57,682
4.65,762
6.38,732
9.98,737
8.64,747
7.5,777
2.78,752
17.24,672
10.84,697
8.46,687
13.04,672
6.38,762
9.44,702
5.65,737
7.89,707
6.51,727
8.64,737
10.74,682
12.56,677
11.49,697
5.82,742
10.74,672
8.24,697
15.5,697
17.24,687
7.89,702
10.42,692
14.74,677
12.06,677
16.47,667
12.06,682
14.52,662
10.86,672
14.02,662
17.24,662
8.74,722
14.33,707
12.56,672
13.04,722
8.87,692
11.8,667
13.04,667
14.26,682
2.78,797
8.64,727
5.65,697
4.65,767
9.17,672
5.69,742
9.28,697
13.04,707
8.87,692
9.17,717
8.46,697
11.08,677
2.78,772
11.02,717
9.17,747
9.86,672
10.74,672
9.67,672
13.04,697
11.01,722
8.74,712
17.24,662
2.54,752
9.43,787
8.87,697
5.65,722
15.39,697
5.24,732
8.24,722
15.24,667
12.77,662
10.24,727
8.87,682
4.65,747
11.08,682
12.55,702
5.34,812
12.06,682
4.43,782
14.52,677
11.36,667
11.08,692
3.37,752
3.74,782
11.66,692
9.86,692
4.66,727
10.47,707
10.24,692
16.16,662
10.84,692
9.28,702
7.12,707
3.37,807
8.87,682
4.65,727
4.37,807
11.71,732
16.47,697
15.0,667
7.12,787
8.96,697
11.08,672
15.0,727
4.49,737
8.24,717
19.2,662
11.02,682
6.66,712
4.26,767
4.65,727
6.51,707
2.78,727
12.02,672
13.04,712
10.42,712
8.87,712
13.58,682
16.47,667
4.04,742
8.58,757
9.44,712
8.87,697
2.78,777
9.17,707
14.26,697
8.87,677
17.64,697
14.52,677
15.78,662
4.63,802
10.84,752
15.78,682
5.69,817
10.74,747
9.44,707
10.92,692
10.68,662
10.84,692
10.42,707
3.67,727
8.87,677
7.89,712
19.22,677
3.74,777
2.78,792
17.24,712
7.74,742
5.65,737
21.64,662
12.71,662
7.34,732
15.3,662
10.86,682
15.24,672
8.46,697
2.54,762
19.53,667
4.63,722
14.52,672
10.84,667
15.24,662
17.24,692
10.24,747
14.52,672
15.8,662
17.75,677
8.24,702
6.91,697
11.08,702
17.27,677
11.54,712
6.63,752
9.86,687
14.02,667
15.05,692
9.43,707
11.08,677
11.34,662
3.37,752
5.65,727
5.65,742
15.24,717
15.79,682
19.7,667
11.54,712
12.75,667
4.65,767
6.91,782
15.39,682
13.04,692
14.02,712
9.97,707
10.6,687
7.89,722
10.84,712
4.65,722
8.24,692
4.65,737
10.42,687
2.78,757
19.22,672
4.04,732
4.04,717
7.49,757
19.7,667
4.65,772
19.2,687
11.88,652
15.5,662
10.84,677
10.84,677
5.65,732
8.46,727
12.55,682
2.78,762
3.37,812
4.26,722
11.08,677
6.91,692
7.5,767
14.02,667
16.74,662
12.56,687
15.5,672
8.46,712
4.37,722
6.83,712
20.03,677
11.4,687
13.52,707
10.84,742
10.74,682
9.17,677
10.54,672
