rate,fico
16.74,692
10.84,692
3.37,777
5.65,752
9.67,667
15.42,662
6.63,732
3.37,802
7.13,757
4.65,792
11.08,687
6.66,752
15.8,697
9.86,687
4.65,772
4.65,707
4.65,797
9.74,717
7.89,687
14.52,667
11.02,707
17.24,662
11.08,742
8.46,682
6.66,732
2.78,787
8.74,757
16.47,667
12.71,667
17.24,662
10.84,687
7.21,682
16.47,702
10.97,672
2.54,732
12.06,672
12.06,712
8.87,712
7.13,757
2.54,782
8.24,717
6.91,712
15.8,687
8.87,692
19.22,662
2.17,787
4.65,722
8.87,722
12.06,712
19.53,677
7.86,692
13.79,687
9.36,677
12.55,677
7.74,692
15.0,692
2.74,792
6.37,712
8.87,677
10.24,762
11.4,672
6.91,717
4.65,742
14.52,677
9.86,697
9.81,712
13.24,712
14.92,687
19.53,692
7.34,737
15.8,662
4.18,802
12.06,712
3.37,742
9.86,737
10.84,692
14.52,662
2.17,772
7.5,757
6.91,712
19.7,667
9.86,702
9.86,707
2.78,792
13.52,687
13.45,692
11.66,717
16.17,707
10.86,702
10.74,727
8.87,692
5.65,722
9.86,692
7.0,722
10.84,687
12.06,667
7.4,702
12.06,682
15.5,672
16.47,682
11.08,672
11.08,692
5.65,702
3.37,782
8.46,777
4.04,737
9.04,687
2.78,757
5.65,717
4.65,732
13.04,682
19.22,672
9.86,687
3.37,752
8.87,707
9.86,682
7.12,677
12.55,667
12.71,697
19.22,692
12.56,702
9.86,702
6.91,702
3.66,732
5.65,717
12.55,692
11.4,677
10.84,727
4.04,732
12.55,737
11.08,687
9.86,672
9.86,687
7.89,717
6.66,707
13.24,692
9.43,697
4.65,717
13.04,712
7.13,737
2.54,762
8.87,717
10.6,707
6.91,727
6.75,732
12.06,677
15.5,697
15.8,662
3.66,762
11.4,682
6.74,732
6.91,732
9.17,707
6.91,722
4.65,707
10.84,687
17.75,672
6.66,732
4.37,732
12.06,687
11.96,702
10.86,677
12.06,667
9.62,722
11.08,727
15.24,702
9.86,672
6.38,782
14.02,727
4.65,722
15.8,662
9.86,702
9.86,687
7.74,732
11.08,682
13.38,682
9.86,742
19.7,672
6.51,782
7.13,732
10.42,692
12.06,697
20.03,662
15.0,667
14.24,697
8.74,682
8.46,687
15.8,692
6.91,677
10.84,667
8.46,722
16.47,667
7.87,717
8.87,692
11.59,707
8.72,707
14.18,677
4.65,727
16.47,677
9.86,692
12.06,672
12.75,727
8.96,702
12.06,672
12.02,682
14.02,672
8.87,702
14.52,682
10.24,692
13.07,687
10.84,677
6.74,747
8.87,682
8.87,687
9.91,672
10.84,737
4.65,732
6.91,692
8.96,727
7.89,762
7.49,747
7.0,777
8.11,712
3.89,762
8.87,717
6.75,717
2.78,752
9.04,702
3.51,757
11.59,672
12.71,667
2.78,752
12.06,672
12.55,677
8.87,682
7.89,672
6.07,777
14.52,667
14.52,662
19.22,667
13.04,677
11.96,682
5.65,682
9.81,672
4.24,732
13.04,707
4.37,742
10.74,687
14.52,672
7.5,722
15.37,687
9.44,677
11.4,727
3.37,742
7.89,717
17.75,672
4.41,702
10.93,687
7.89,687
15.8,662
10.73,722
10.84,672
11.4,712
8.64,742
13.89,682
6.51,742
19.22,667
4.65,712
9.86,687
14.02,672
10.84,697
5.69,722
2.92,772
6.91,707
15.24,672
18.86,692
8.24,732
9.74,687
10.84,692
7.34,697
4.04,727
8.46,732
13.52,677
16.47,682
4.37,722
12.06,692
12.06,667
8.87,692
13.52,662
12.56,682
10.24,687
6.51,697
15.5,692
4.26,737
6.91,762
3.74,752
4.26,792
8.93,742
7.89,722
12.71,662
6.91,702
11.08,702
9.86,682
8.87,692
7.74,702
11.98,672
4.63,782
12.06,667
9.86,702
7.49,707
17.28,677
12.82,687
9.28,687
15.8,692
4.65,802
13.04,727
9.86,692
5.65,752
7.89,702
2.17,792
7.4,687
7.4,722
14.74,677
9.17,707
15.5,682
3.37,737
9.28,707
10.73,677
2.78,742
4.26,757
7.87,707
6.51,712
8.87,702
6.38,787
13.04,692
9.17,672
11.08,712
4.65,722
7.49,702
12.06,697
6.91,722
10.1,712
14.02,697
8.58,717
15.0,727
4.26,737
10.42,712
7.12,677
8.46,677
8.87,712
5.38,732
4.65,732
3.37,722
11.45,642
6.75,702
10.84,682
3.66,737
10.74,722
9.86,677
8.87,692
4.41,727
12.03,722
8.87,732
5.65,712
11.08,762
3.29,797
13.52,662
15.78,682
8.87,697
4.65,737
14.24,672
7.49,687
6.91,707
11.08,692
15.0,697
10.1,667
15.97,682
2.78,747
11.4,687
12.7,667
2.92,747
13.04,677
8.24,727
4.65,727
6.74,712
4.65,727
10.23,692
10.86,672
7.74,697
4.65,722
4.49,787
15.24,677
14.02,697
11.08,687
20.08,667
10.84,662
12.33,702
14.33,692
10.47,667
9.86,702
7.37,722
10.18,672
8.58,727
6.66,707
15.8,692
7.84,747
12.2,642
4.65,707
15.97,667
13.64,667
10.84,677
2.78,782
15.0,692
15.5,667
14.52,667
10.42,677
12.06,682
15.3,662
5.65,717
7.89,712
9.86,672
4.37,777
11.08,682
8.87,667
14.52,667
9.86,677
16.47,712
12.33,697
9.44,682
14.02,712
7.89,717
10.24,672
4.24,717
8.87,697
14.52,672
17.75,687
15.24,697
11.08,677
11.47,697
9.86,682
2.92,772
3.74,737
10.74,717
8.01,722
14.02,667
10.84,687
12.06,682
11.08,672
18.24,677
12.55,672
14.02,727
18.24,662
9.28,702
14.65,677
7.89,707
9.86,692
4.65,722
20.51,667
12.06,682
10.86,677
18.73,682
12.06,672
10.84,682
15.8,687
10.24,682
13.52,692
7.49,722
11.4,667
6.66,732
18.72,672
11.4,682
14.02,667
15.24,662
9.28,707
9.86,692
9.44,722
5.65,702
4.65,707
7.4,722
4.65,712
12.08,662
9.74,712
12.74,667
7.34,747
13.04,712
12.06,747
13.64,662
6.91,732
7.0,732
9.86,672
6.66,732
14.02,707
5.24,732
19.53,667
8.46,702
14.02,672
9.86,747
15.3,672
10.22,702
10.74,727
10.74,702
12.02,672
18.23,667
8.93,747
6.51,712
11.96,672
10.6,722
16.44,707
13.04,682
8.23,717
9.86,737
6.38,792
6.83,757
7.0,752
14.02,682
11.08,672
15.24,662
13.52,687
15.78,672
7.89,727
2.78,782
10.42,692
8.61,707
12.06,687
11.66,722
13.04,662
9.73,667
12.06,682
12.12,677
7.11,767
7.87,702
5.65,702
4.24,732
6.66,727
14.02,662
10.84,712
7.89,702
3.37,792
7.87,777
8.24,692
3.74,747
10.74,732
20.03,677
10.22,692
12.43,682
4.04,742
17.25,672
8.24,782
4.65,812
13.64,702
10.42,697
14.02,672
8.46,722
4.65,767
7.37,762
7.78,682
9.86,677
9.86,687
7.11,722
11.08,677
3.37,767
13.1,667
9.43,692
11.95,677
12.06,682
7.89,702
7.74,722
15.8,737
11.34,707
2.78,752
8.87,702
11.47,662
3.37,772
20.51,662
8.87,717
15.8,677
3.37,742
13.64,697
3.29,727
7.13,782
5.65,707
5.65,747
11.02,737
11.02,667
9.86,672
12.03,702
14.02,672
4.26,787
8.87,707
3.37,742
4.65,747
3.89,767
9.86,682
9.86,697
15.5,697
8.58,707
10.42,732
11.08,692
2.78,772
4.37,727
9.28,727
11.08,717
12.08,672
15.24,672
11.34,692
10.5,667
2.17,782
